"Batter","PA","AB","BA","OBP","SLG","2OPS","H","1B","1B w/ Normal Defense","2B","2B w/ Normal Defense","3B","3B w/ Normal Defense","HR","XBH","K","BB","Pitches Per PA"
"Brandenburg, Kip",54,46,".239",".352",".500",".366",11,5,4,3,3,0,0,3,6,12,7,"4.111"
"Brantley, Cameran",59,50,".280",".390",".420",".361",14,11,11,1,2,0,0,2,3,4,8,"4.102"
"Busch, Michael",32,26,".269",".406",".577",".423",7,3,4,2,3,0,0,2,4,2,5,"4.375"
"Casparius, Ben",25,22,".227",".320",".409",".318",5,3,4,1,1,0,0,1,2,2,2,"3.160"
"Caulfield, Tom",57,53,".226",".281",".358",".279",12,8,9,2,2,1,0,1,4,15,4,"3.667"
"Elliott, Austin",23,17,".176",".391",".235",".300",3,2,2,1,0,0,0,0,1,9,6,"4.261"
"Enwiller, Dylan",50,44,".159",".260",".205",".216",7,5,7,2,2,0,0,0,2,12,5,"4.180"
"Freeman, Ike",53,42,".238",".377",".476",".373",10,6,5,1,2,0,0,3,4,9,7,"3.698"
"Harris, Dylan",64,48,".375",".531",".583",".495",18,14,11,1,3,0,0,3,4,6,13,"4.203"
"Hesterlee, Jackson",57,47,".191",".333",".447",".338",9,3,5,3,3,0,0,3,6,16,9,"4.053"
"Holtzapple, Jake",45,35,".314",".422",".371",".363",11,9,9,2,2,0,0,0,2,7,7,"3.867"
"Illies, Brendan",33,27,".111",".273",".148",".204",3,2,4,1,2,0,0,0,1,6,6,"3.970"
"Inclan, Clemente",52,40,".200",".385",".350",".335",8,3,5,4,4,1,1,0,5,10,11,"4.019"
"Ladowski, Josh",44,33,".333",".500",".485",".445",11,8,8,2,1,0,0,1,3,7,9,"3.682"
"Maniglia, Casey",8,6,".000",".250",".000",".142",0,0,0,0,0,0,0,0,0,3,2,"4.000"
"McGee, Ashton",45,36,".333",".467",".389",".394",12,10,8,2,2,0,0,0,2,7,7,"4.089"
"Ollio, Connor",10,10,".300",".300",".300",".270",3,3,2,0,0,0,0,0,0,4,0,"4.200"
"Pry, Nik",5,3,".333",".600",".333",".451",1,1,0,0,0,0,0,0,0,0,2,"4.400"
"Roberts, Caleb",58,46,".261",".397",".326",".333",12,11,11,0,2,0,0,1,1,4,8,"3.845"
"Sabato, Aaron",55,45,".422",".527",".689",".528",19,13,12,3,4,0,0,3,6,3,10,"3.655"
"Schroeder, Will",50,42,".333",".440",".595",".448",14,8,7,3,1,1,0,2,6,12,8,"3.920"
"Semper, Earl",54,44,".273",".370",".318",".316",12,10,10,2,2,0,0,0,2,9,8,"3.889"
"Serretti, Danny",57,50,".280",".368",".340",".322",14,11,10,3,2,0,0,0,3,4,6,"3.789"
"Zarate, Angel",31,29,".207",".258",".241",".227",6,5,4,1,1,0,0,0,1,5,2,"3.000"
