"Batter","Date","HotColdPoints"
"Brantley, Cameran","1/10/2019",3.5
"Brantley, Cameran","1/22/2019",2.5
"Brantley, Cameran","1/23/2019",-2
"Brantley, Cameran","1/25/2019",3
"Brantley, Cameran","1/26/2019",6.5
"Brantley, Cameran","1/27/2019",6
"Brantley, Cameran","2/1/2019",8.5
"Brantley, Cameran","2/2/2019",1
"Brantley, Cameran","2/3/2019",5
"Brantley, Cameran","2/5/2019",2.5
"Brantley, Cameran","2/8/2019",4.5
"Brantley, Cameran","2/9/2019",-0.5
"Busch, Michael","1/10/2019",4.5
"Busch, Michael","1/22/2019",4
"Busch, Michael","1/25/2019",-3
"Busch, Michael","1/26/2019",6
"Busch, Michael","1/27/2019",8
"Busch, Michael","2/1/2019",6.5
"Busch, Michael","2/10/2019",3
"Busch, Michael","2/2/2019",9.5
"Busch, Michael","2/3/2019",7.5
"Busch, Michael","2/5/2019",5
"Busch, Michael","2/8/2019",11
"Busch, Michael","2/9/2019",7.5
"Casparius, Ben","1/22/2019",-3.5
"Casparius, Ben","1/23/2019",6
"Casparius, Ben","1/25/2019",-3.5
"Casparius, Ben","1/26/2019",1
"Casparius, Ben","1/27/2019",6.5
"Casparius, Ben","2/1/2019",8
"Casparius, Ben","2/10/2019",10
"Casparius, Ben","2/2/2019",10
"Casparius, Ben","2/3/2019",-1.5
"Casparius, Ben","2/5/2019",5
"Casparius, Ben","2/8/2019",7.5
"Casparius, Ben","2/9/2019",1.5
"Caufield, Tom","1/10/2019",-0.5
"Caufield, Tom","1/22/2019",0.5
"Caufield, Tom","1/23/2019",-2.5
"Caufield, Tom","1/25/2019",0
"Caufield, Tom","1/26/2019",-3
"Caufield, Tom","1/27/2019",6.5
"Caufield, Tom","2/1/2019",-1
"Caufield, Tom","2/10/2019",3
"Caufield, Tom","2/2/2019",-2
"Caufield, Tom","2/3/2019",0.5
"Caufield, Tom","2/5/2019",4.5
"Caufield, Tom","2/8/2019",2.5
"Caufield, Tom","2/9/2019",2
"Enwiller, Dylan","1/22/2019",0.5
"Enwiller, Dylan","1/25/2019",-9
"Enwiller, Dylan","1/26/2019",8.5
"Enwiller, Dylan","1/27/2019",2
"Enwiller, Dylan","2/1/2019",6
"Enwiller, Dylan","2/10/2019",5
"Enwiller, Dylan","2/2/2019",-3
"Enwiller, Dylan","2/3/2019",9
"Enwiller, Dylan","2/5/2019",3
"Enwiller, Dylan","2/8/2019",1.5
"Enwiller, Dylan","2/9/2019",5.5
"Freeman, Ike","1/22/2019",4.5
"Freeman, Ike","1/23/2019",2.5
"Freeman, Ike","1/25/2019",-4
"Freeman, Ike","1/26/2019",5
"Freeman, Ike","1/27/2019",6
"Freeman, Ike","2/1/2019",0
"Freeman, Ike","2/10/2019",3
"Freeman, Ike","2/2/2019",11
"Freeman, Ike","2/3/2019",4
"Freeman, Ike","2/5/2019",-2
"Freeman, Ike","2/8/2019",2.5
"Freeman, Ike","2/9/2019",2.5
"Harris, Dylan","1/10/2019",3
"Harris, Dylan","1/23/2019",2.5
"Harris, Dylan","1/25/2019",-3.5
"Harris, Dylan","1/26/2019",13
"Harris, Dylan","1/27/2019",2
"Harris, Dylan","2/1/2019",1.5
"Harris, Dylan","2/10/2019",4.5
"Harris, Dylan","2/2/2019",-1.5
"Harris, Dylan","2/3/2019",10
"Harris, Dylan","2/5/2019",1
"Harris, Dylan","2/8/2019",7
"Harris, Dylan","2/9/2019",5
"Hesterlee, Jackson","1/10/2019",9
