"Pitcher","Date","strikeper","whiff","p1k","maxvelo","kills"
"Baum, Tyler","2/1/2019",0.63013698630137,7,0.590909090909091,94.98309129,8
"Bergner, Austin","2/1/2019",0.551282051282051,8,0.5,93.61553702,5
"Blendinger, Kyle","2/1/2019",0.666666666666667,0,0.333333333333333,87.4005113,0
"Blendinger, Kyle","2/2/19",0.583333333333333,0,0.6,89.08283028,4
"Blendinger, Kyle","2/5/2019",0.6,1,0.666666666666667,90.344776,3
"Butler, Hansen","2/1/2019",0.6,4,0.666666666666667,93.50157179,1
"Butler, Hansen","2/2/19",0.5625,3,0.333333333333333,92.58946839,2
"Butler, Hansen","2/5/2019",0.666666666666667,2,0.75,93.08124438,1
"Dalatri, Luca","2/2/19",0.680555555555556,4,0.636363636363636,89.98253201,8
"Daniels, Brett","2/2/19",0.411764705882353,1,0.5,89.27212121,0
"Dotson, Josh","2/2/19",0.5625,1,0.375,89.30890834,2
"Dotson, Josh","2/5/2019",0.491228070175439,2,0.4,88.97580849,1
"Elliott, Austin","2/3/19",0.37037037037037,1,0.363636363636364,92.62764765,0
"Gallen, Zac","2/5/2019",0.5,0,0.333333333333333,94.05975573,0
"Grogan, Andrew","2/3/19",0.6,4,0.608695652173913,87.56260707,5
"Joyner, Chris","2/2/19",0.5,1,0,88.92212932,0
"Joyner, Chris","2/5/2019",0.584905660377358,1,0.642857142857143,88.62779987,1
"Love, Austin","2/3/19",0.614457831325301,13,0.454545454545455,91.438281,6
"Nance, Bennett","2/3/19",0.588235294117647,5,0.6,87.09397648,1
"O'Brien, Caden","2/1/2019",0.538461538461538,7,0.4375,88.64476041,3
"Ollio, Connor","2/2/19",0.675,12,0.526315789473684,89.02230865,12
"Palermo, Davis","2/3/19",0.618421052631579,3,0.636363636363636,89.70286451,7
"Pry, Nik","2/2/19",0.612903225806452,2,0.888888888888889,88.87984281,2
"Pry, Nik","2/5/2019",0.619047619047619,1,0.636363636363636,88.03276747,5
"Sandy, Will","2/1/2019",0.6,5,0.6,87.18752716,6
"Wooten, Rob","2/5/2019",0.75,0,0.8,88.9932286,1
