"Pitcher","Games","IP","BF","K","BB","HR","H","HBP","R","Pitches","Strikes_Thrown","1st Pitch Strike%","Pitches per AB","K%","BB%","HR%","Batting Avg Against","Strike%","Start 0-2/1-2","4 Pitch or Less ABs","GB%","LD%","FB%","PU%","% 123 Innings"
"Blendinger, Kyle",8,"15.0",60,9,4,1,12,1,5,228,122,57,3.8,15,7,2,"0.218",54,40,51,54,29,23,6,29
"Butler, Hansen",9,"18.0",86,21,17,1,15,0,10,352,173,50,4.1,24,20,1,"0.217",49,43,46,66,28,24,0,17
"Casparius, Ben",3,"3.1",13,5,1,0,1,1,1,46,25,46,3.5,38,8,0,"0.091",54,33,62,33,17,33,17,25
"Dalatri, Luca",7,"16.1",61,14,5,2,7,1,4,202,124,66,3.3,23,8,3,"0.127",61,76,50,74,16,32,16,50
"Dotson, Josh",8,"15.2",67,13,9,2,12,2,8,299,148,49,4.5,19,13,3,"0.214",49,45,31,53,24,26,9,21
"Elliott, Austin",7,"9.2",46,8,14,1,7,0,8,204,92,44,4.4,17,30,2,"0.219",45,36,23,67,28,22,6,27
"Grogan, Andrew",10,"21.2",86,14,4,2,20,2,8,295,180,64,3.4,16,5,2,"0.250",61,55,44,54,46,21,5,46
"Love, Austin",7,"22.1",92,18,8,1,19,0,10,319,185,56,3.5,20,9,1,"0.226",58,49,40,57,33,26,7,35
"Maniglia, Casey",7,"11.1",61,9,15,1,15,0,9,246,110,44,4,15,25,2,"0.326",45,41,34,57,62,24,5,12
"Nance, Bennett",8,"13.0",78,12,20,4,18,0,14,329,153,49,4.2,15,26,5,"0.310",47,35,40,44,38,19,9,11
"Ollio, Connor",9,"22.0",100,18,17,3,19,2,13,394,205,43,3.9,18,17,3,"0.235",52,53,30,50,41,34,22,30
"Palermo, Davis",7,"13.0",61,7,15,0,8,2,4,246,116,56,4,11,25,0,"0.182",47,33,58,34,31,14,21,14
"Pelli, Stephen",1,"0.2",4,0,1,0,0,1,2,20,8,40,5,0,25,0,"0.000",40,33,33,50,0,50,0,0
"Pry, Nik",9,"19.0",86,16,11,2,20,1,9,319,183,60,3.7,19,13,2,"0.270",57,61,30,46,65,38,15,27
"Sandy, Will",9,"23.2",111,21,7,3,32,3,15,388,229,62,3.5,19,6,3,"0.317",59,60,31,53,49,19,6,23
