"FullName","TARAbbrev","TMAbbrev","PlayByPlayStyle","URL","ScheduleStyle","TeamWithNickname"
"CentralConnecticut","CCU","","","",NA,NA
"FloridaAtlantic","FAU","","","",NA,NA
"SaintPeter's","SPU","","","",NA,NA
"UCDavis","UCD","","","",NA,NA
"UCSantaBarbara","UCS","","","",NA,NA
"A&M-CorpusChris","&CC","","","",NA,""
"AcademyofArt","AA2","","","",NA,""
"AlabamaA&M","AAM","ALA_ANM","","",NA,NA
"","AAM","ALA_ANM","","",NA,"AlabamaA&&MBulldogs"
"AldersonBroaddus","AB2","","","",NA,""
"AbileneChristian","ABC","","","",NA,""
"Adelphi","AD2","","","",NA,""
"AirForce","AFU","AIR_FOR","","",NA,""
"Ala-Huntsville","AH2","","","",NA,""
"Akron","AKR","AKR_ZIP","","",NA,NA
"Albany","ALB","","","",NA,NA
"Albany(NY)","ALB","","","",NA,""
"","ALB","","","",NA,"Albany"
"AlcornState","ALC","ALC_BRA","","",NA,NA
"Alcorn","ALC","","","",NA,""
"","ALC","","","",NA,"AlcornBraves"
"LittleRock","ALR","","","",NA,""
"AlabamaState","ALS","","","",NA,NA
"AlabamaSt","ALS","","","",NA,""
"","ALS","","","",NA,"AlabamaStHornets"
"Ark-Monticello","AM2","","","",NA,""
"ArmyWestPoint","AMY","","","",NA,""
"AzusaPacific","AP2","","","",NA,""
"Ark-PineBluff","APB","APB_GOL","","",NA,NA
"Arkansas-PineBluff","APB","APB_GOL","","",NA,NA
"AppalachianState","APP","APP_MOU","","",NA,NA
"AppalachianSt","APP","APP_MOU","","",NA,NA
"","APP","APP_MOU","","",NA,"AppalachianStMountaineers"
"AustinPeay","APU","","","",NA,NA
"Arizona","ARI","","","",NA,NA
"","ARI","","","",NA,"ArizonaWildcats"
"Arkansas","ARK","ARK_RAZ","","",NA,NA
"","ARK","ARK_RAZ","","",NA,"ArkansasRazorbacks"
"UTArlington","ARL","","","",NA,""
"ArkansasSt","ARS","ASU_RED","","",NA,""
"","ARS","ASU_RED","","",NA,"ArkansasStRedWolves"
"Assumption","AS2","","","",NA,""
"ArizonaSt.","ASU","","","",NA,NA
"ArizonaState","ASU","ASU_SUN","","",NA,NA
"ArizonaSt","ASU","","","",NA,""
"","ASU","","","",NA,"ArizonaStSunDevils"
"Apprentice","AT2","","","",NA,""
"Auburn","AUB","AUB_TIG","","",NA,NA
"","AUB","AUB_TIG","","",NA,"AuburnTigers"
"AveMaria","AV4","","","",NA,""
"Barry","BA2","","","",NA,""
"Alabama","BAM","","","",NA,NA
"Baylor","BAY","BAL_BEA","","",NA,NA
"Bentley","BE2","","","",NA,""
"Benedictine(KS)","BE3","","","",NA,""
"Belmont","BEL","","","",NA,""
"","BEL","","","",NA,"BelmontBruins"
"Bethune-Cookman","BET","","","",NA,NA
"BowlingGreenState","BGS","","","",NA,NA
"BowlingGreen","BGS","","","",NA,""
"Binghamton","BIN","","","",NA,NA
"Baker","BK4","","","",NA,""
"Bloomfield","BL2","","","",NA,""
"BostonCollege","BOC","BOC_EAG","","",NA,NA
"St.Bonaventure","BON","","","",NA,NA
"StBonaventure","BON","","","",NA,""
"StBonaventure/a>","BON","","","",NA,""
"Bradley","BRA","","","",NA,NA
"Bradley","BRA","","","",NA,NA
"Brown","BRO","BRO_BEA","","",NA,NA
"Bryant","BRY","BRY_BUL","","",NA,NA
"Bryant/a>","BRY","BRY_BUL","","",NA,""
"","BRY","BRY_BUL","","",NA,"BryantBulldogs"
"BallState","BSU","BAL_CAR","","",NA,NA
"BallSt","BSU","BAL_CAR","","",NA,NA
"Bates","BT3","","","",NA,""
"Bucknell","BUC","BUC_BIS","","",NA,NA
"Buffalo","BUF","","","",NA,NA
"","BUF","","","",NA,"BuffaloBulls"
"Butler","BUT","","","",NA,NA
"Butler","BUT","BUT_BUL","","",NA,NA
"BaldwinWallace","BW3","","","",NA,""
"BYU","BYU","BYU_COU","","",NA,""
"","BYU","BYU_COU","","",NA,"BYUCougars"
"California","CAL","","","",NA,NA
"Campbell","CAM","CAM_CAM","ColorCoded","",NA,NA
"","CAM","","","",NA,"CampbellFightingCamels"
"CalPoly","CAP","","","",NA,NA
"CalPoly","CAP","","","",NA,NA
"CalPolyPomona","CP2","","","",NA,""
"CentralArk","CAR","","","",NA,""
"CaliforniaBaptist","CB2","","","",NA,""
"Colby","CB3","","","",NA,""
"CentralConnSt","CCU","","","",NA,""
"Chicago","CH3","","","",NA,""
"Charlotte","CHA","CHAR49ers","","",NA,NA
"","CHA","","","",NA,"Charlotte49ers"
"Charleston","CT2","","","",NA,NA
"COL.OFCHARLESTON","COC","","","",NA,NA
"CharlestonSo.","CHS","CHA_BUC","","",NA,NA
"CharlestonSouthern","CHS","CHA_BUC","None","",NA,NA
"CharlestonSo","CHS","CHA_BUC","","",NA,""
"","CHS","CHA_BUC","","",NA,"CharlestonSoBuccaneers"
"Cincinnati","CIN","","","",NA,NA
"","CIN","","","",NA,"CincinnatiBearcats"
"Canisius","CIS","","","",NA,NA
"","CIS","","","",NA,"CanisiusGoldenGriffins"
"TheCitadel","CIT","CIT_BUL","","",NA,NA
"","CIT","","","",NA,"TheCitadelBulldogs"
"Clemson","CLE","CLE_TIG","sameasUNC","http://www.clemsontigers",NA,NA
"","CLE","","","",NA,"ClemsonTigers"
"ColoradoMesa","CM2","","","",NA,""
"CentralMichigan","CMU","","","",NA,NA
"CentralMich","CMU","","","",NA,""
"Coker","CO2","","","",NA,""
"CoastalCarolina","COA","COA_CHA","","",NA,NA
"CoastalCaro","COA","","","",NA,NA
"","COA","","","",NA,"CoastalCaroChanticleers"
"CollegeofCharleston","COC","COC_COU","","",NA,NA
"ColofCharleston","COC","","","",NA,NA
"","COC","","","",NA,"ColofCharlestonCougars"
"Columbia","COL","","","",NA,NA
"CoppinState","COP","","","",NA,NA
"CoppinSt","COP","","","",NA,""
"Cornell","COR","COR_BRE","","",NA,NA
"Creighton","CRE","","","",NA,NA
"ChicoSt","CS2","","","",NA,""
"CSUBakersfield","CSB","","","",NA,NA
"","CSB","","","",NA,"CSUBakersfieldRoadrunners"
"CalStateFullerton","CSF","","","",NA,NA
"CalStFullerton","CSF","","","",NA,""
"CalStateNorthridge","CSN","CAL_MAT","","",NA,NA
"CSUN","CSN","CAL_MAT","","",NA,NA
"ChicagoState","CSU","CHI_COU","","",NA,NA
"ChicagoSt","CSU","CHI_COU","","",NA,""
"","CSU","CHI_COU","","",NA,"ChicagoStCougars"
"DallasBaptist","DAB","DAL_PAT","","",NA,NA
"Davidson","DAV","DAV_WIL","","",NA,NA
"","DAV","","","",NA,"DavidsonWildcats"
"Dayton","DAY","DAY_FLY","","",NA,NA
"","DAY","DAY_FLY","","",NA,"DaytonFlyers"
"Delaware","DEL","","","",NA,NA
"","DEL","","","",NA,"DelawareBlueHens"
"DelawareState","DES","","","",NA,NA
"DelawareSt","DES","","","",NA,""
"","DES","","","",NA,"DelawareStHornets"
"DePauw","DP3","","","",NA,""
"Dartmouth","DRT","","","",NA,""
"DixieSt","DS2","","","",NA,""
"Duke","DUK","DUK_BLU","","",NA,NA
"","DUK","","","",NA,"DukeBlueDevils"
"EastCarolina","ECU","ECU_PIR","","",NA,NA
"","ECU","","","",NA,"EastCarolinaPirates"
"SIUEDWARDSVILLE","SUE","SOU_COU","","",NA,NA
"EasternIll","EIL","","","",NA,""
"E.UKE","EKU","","","",NA,NA
"E.UKE","EKU","","","",NA,NA
"EasternKentucky","EKU","","","",NA,NA
"EASTERNKENTUCKY","EKU","","","",NA,NA
"EasternKy","EKU","","","",NA,NA
"","EKU","","","",NA,"EasternKyColonels"
"Elon","ELO","ELO_PHO","","",NA,NA
"","ELO","","","",NA,"ElonPhoenix"
"EasternMichigan","EMI","EMI_EAG","","",NA,NA
"EasternMich","EMI","","","",NA,NA
"EastStroudsburg","ES2","","","",NA,""
"ETSU","ETS","ETS_BUC","","",NA,NA
"","ETS","","","",NA,"ETSUBuccaneers"
"Evansville","EVN","EVA_ACE","","",NA,""
"Fairfield","FAI","FAI_STA","","",NA,NA
"Fairfield","FAI","FAI_STA","","",NA,NA
"","FAI","","","",NA,"FairfieldStags"
"FloridaA&M","FAM","","","",NA,NA
"FAU","FAU","","","",NA,NA
"FloridaAtlantic","FAU","","","",NA,NA
"FlaAtlantic","FAU","","","",NA,NA
"FairleighDickinson","FDC","","","",NA,NA
"FairleighDickinson","FDC","","","",NA,NA
"FloridaGulfCoast","FGC","","","",NA,NA
"FGCU","FGC","","","",NA,""
"FloridaInternational","FIU","","","",NA,NA
"FIU","FIU","","","",NA,""
"FrancisMarion","FM2","","","",NA,""
"FloridaMemorial","FM4","","","",NA,NA
"Fordham","FOR","FOR_RAM","","",NA,NA
"","FOR","","","",NA,"FordhamRams"
"FranklinPierce","FP2","","","",NA,""
"FresnoPacific","FR2","","","",NA,""
"FresnoState","FRE","","","",NA,NA
"FresnoSt","FRE","","","",NA,""
"FairmontSt","FS2","","","",NA,""
"FarmingdaleSt","FS3","","","",NA,""
"FloridaState","FSU","FLO_SEM","","http://www.seminoles",NA,NA
"FloridaState","FSU","FLO_SEM","","http://www.nmnathletics",NA,NA
"FloridaSt","FSU","","","",NA,NA
"","FSU","","","",NA,"FloridaStSeminoles"
"Furman","FUR","FUR_PAL","","",NA,NA
"FortWayne","FWU","","","",NA,NA
"Gannon","GA2","","","",NA,""
"GeorgiaSouthern","GAS","GAS_EAG","","",NA,NA
"GeorgiaSouthern","GAS","GAS_EAG","","",NA,NA
"GaSouthern","GAS","","","",NA,""
"","GAS","","","",NA,"GaSouthernEagles"
"GeorgiaTech","GAT","GIT_YEL","","http://www.ramblinwreck",NA,NA
"","GAT","","","",NA,"GeorgiaTechYellowJackets"
"","GCU","","","",NA,"GrandCanyonLopes"
"GrandCanyon","GCU","","","",NA,""
"Georgetown","GEO","GUHoyas","","",NA,NA
"","GEO","","","",NA,"GeorgetownHoyas"
"GeorgeWashington","GEW","","","",NA,NA
"","GEW","","","",NA,"GeorgeWashingtonColonials"
"KENNESAWST.","GKS","","","",NA,NA
"KennesawState","GKS","","","",NA,NA
"KennesawSt","GKS","","","",NA,""
"KennesawSt</a>","GKS","","","",NA,""
"","GKS","","","",NA,"KennesawStOwls"
"GeorgeMason","GMU","","","",NA,NA
"","GMU","","","",NA,"GeorgeMasonPatriots"
"NorthGeorgia","GN2","","","",NA,""
"Goshen","GO4","","","",NA,""
"Gonzaga","GON","","","",NA,NA
"Gonzaga","GON","","","",NA,NA
"Grace(IN)","GR4","","","",NA,""
"GramblingState","GRS","GRS_TIG","","",NA,NA
"Grambling","GRS","","","",NA,""
"GEORGIAST.","GSU","GEO_PAN","","",NA,NA
"GeorgiaState","GSU","GEO_PAN","","",NA,NA
"GeorgiaSt","GSU","GEO_PAN","","",NA,""
"","GSU","GEO_PAN","","",NA,"GeorgiaStPanthers"
"Gardner-Webb","GWU","GAR_RUN","None","",NA,NA
"Gardner-Webb","GWU","GAR_RUN","None","",NA,NA
"","GWU","","","",NA,"Gardner-WebbRunnin&#x27;Bulldogs"
"Hartford","HAF","","","",NA,NA
"Harvard","HAR","HAR_CRI","","",NA,NA
"Hawai'i","HAW","","","",NA,NA
"Hawaii","HAW","","","",NA,NA
"Hawaii","HAW","","","",NA,NA
"HoustonBaptist","HBU","","","",NA,""
"HoustonBaptist,Texas","HBU","","","",NA,""
"HolyCross(IN)","HC4","","","",NA,""
"HolyCross","HCU","","","",NA,NA
"HawaiiHilo","HH2","","","",NA,""
"Hillsdale","HL2","","","",NA,""
"HolyNames","HN2","","","",NA,""
"Hofstra","HOF","","","",NA,NA
"","HOF","","","",NA,"HofstraPride"
"Houston","HOU","","","",NA,NA
"HawaiiPacific","HP2","","","",NA,""
"HighPoint","HPU","HIG_PAN","None","",NA,NA
"","HPU","","","",NA,"HighPointPanthers"
"Harris-Stowe","HS4","","","",NA,""
"Husson","HU3","","","",NA,""
"Illinois-Chicago","UIC","","","",NA,NA
"Illinois-Chicago","UIC","","","",NA,NA
"Ill-Chicago","UIC","","","",NA,NA
"Illinois","ILL","ILL_ILL","","",NA,NA
"IllinoisState","ILS","","","",NA,NA
