"GameID","PlayID","PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","HitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","PitchUID","yyyymmdd","key","XCoord","YCoord","XLand","YLand","barrel","solid","F.B","topped","under","weak","ContactType","LAEVcol","Bases","Hit","X1B","X2B","X3B","HR","SH","Error","Out","K","BB","HBP","ExpOBP","ExpSLG","Exp2OPS","Pred_1B","Pred_2B","Pred_3B","Pred_HR","BBtype"
"UNC2UNC091816","UNC2UNC091816 01( 01",1,"9/18/16","1:34:47 PM",1,1,"Peto, Robbie",8889484,"Right","NOR_TAR","Freeman, Ike",8899244,"Right","NOR_TAR2","Undefined",1,"Top",0,0,0,"FB","FB","FoulBall","Undefined","Undefined","Undefined",0,0,NA,90.43817008,-3.017824291,-4.426334082,2321.253487,208.263291,"1:00",6.397193376,2.525426081,6.2584155,-11.44309623,22.63833846,12.18801403,2.650346328,-0.547999037,81.78590107,-5.190351141,-2.113901423,0.420175236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.031828624,13.3263208,-2.203058501,50,6.167286704,9.776544856,-131.0904428,-7.279982251,-13.8426794,30.18769885,-9.206428724,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","2dea0d9a-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 01 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 01",2,"9/18/16","1:35:06 PM",1,2,"Peto, Robbie",8889484,"Right","NOR_TAR","Freeman, Ike",8899244,"Right","NOR_TAR2","Undefined",1,"Top",0,0,1,"FB","FB","BallCalled","Undefined","Undefined","Undefined",0,0,NA,90.3068886,-0.419180587,-5.363495876,2267.860713,239.0578398,"2:00",6.00960046,2.34655638,6.464918435,-26.80041569,6.644109372,11.13543613,3.389570847,-1.665589683,82.99064022,-5.478248243,-3.263764239,0.416230629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.528173571,3.763330942,-1.972752842,50,5.967802386,11.97603444,-131.0628938,-1.754477772,-13.17093033,26.18630117,-25.58990578,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","3e57f2d2-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 01 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 01",3,"9/18/16","1:35:18 PM",1,3,"Peto, Robbie",8889484,"Right","NOR_TAR","Freeman, Ike",8899244,"Right","NOR_TAR2","Undefined",1,"Top",0,1,1,"CH","CH","StrikeSwinging","Undefined","Undefined","Undefined",0,0,NA,83.94259492,-1.703752539,-4.586776754,2179.769589,240.4237891,"2:00",6.017309315,2.508220575,6.150097262,-30.16213305,8.822859802,15.61065376,1.924242748,-0.437517106,77.65543998,-7.34250855,-1.658306159,0.449386734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.623427842,5.217585576,-2.167384557,50,5.871750037,9.320817538,-121.8951209,-4.522940616,-14.62465578,21.70485717,-24.24492036,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","45586cd4-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 01 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 01",4,"9/18/16","1:35:29 PM",1,4,"Peto, Robbie",8889484,"Right","NOR_TAR","Freeman, Ike",8899244,"Right","NOR_TAR2","Undefined",1,"Top",0,1,2,"CU","BB","StrikeSwinging","Strikeout","Undefined","Undefined",0,0,NA,81.69664979,1.192000636,-2.467682064,1859.564337,35.93468663,"7:15",6.071872182,2.520544321,6.15786054,-48.74814402,-8.040900219,-5.800321989,3.111790763,-0.243690238,76.43108293,-7.888351113,-3.553024725,0.459205803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.575418304,-4.63704244,-2.330373771,50,6.136799893,5.294474404,-118.9826572,1.076004262,3.752940155,19.29416482,-38.9312199,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","4c6ff1dd-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 01 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 02",5,"9/18/16","1:35:50 PM",2,1,"Peto, Robbie",8889484,"Right","NOR_TAR","Holtzapple, Jake",8899290,"Right","NOR_TAR2","Undefined",1,"Top",1,0,0,"FB","FB","StrikeCalled","Undefined","Undefined","Undefined",0,0,NA,90.91759208,-2.162738233,-5.424045177,2143.203451,225.1060544,"1:30",6.178049037,2.548120106,6.397180943,-19.42011008,13.69277585,13.77480954,2.561066769,-1.306612173,83.55736647,-5.823399238,-2.829762726,0.414161796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.962536294,8.071825321,-2.164977659,50,6.013321737,12.10301013,-131.8388016,-5.586697426,-15.87964485,26.28071737,-17.87254782,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","533dc1d9-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 02 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 02",6,"9/18/16","1:36:03 PM",2,2,"Peto, Robbie",8889484,"Right","NOR_TAR","Holtzapple, Jake",8899290,"Right","NOR_TAR2","Undefined",1,"Top",1,0,1,"FB","FB","BallCalled","Undefined","Undefined","Undefined",0,0,NA,89.13767711,-2.776117186,-5.641974431,2083.29902,226.8167967,"1:30",6.050504186,2.599996525,6.487145078,-22.33660059,11.98437268,12.803944,1.626290353,-1.529031171,82.23660093,-6.978087256,-3.230873492,0.421649234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.473459044,7.297006276,-2.209304795,50,5.8449203,12.39038129,-129.1838863,-6.943211913,-14.44419326,24.71077664,-19.7352832,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","5aafec52-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 02 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 02",7,"9/18/16","1:36:14 PM",2,3,"Peto, Robbie",8889484,"Right","NOR_TAR","Holtzapple, Jake",8899290,"Right","NOR_TAR2","Undefined",1,"Top",1,1,1,"FB","FB","InPlay","Undefined","GroundBall","Out",1,0,NA,90.62741363,-1.095788709,-4.769695214,2183.417657,230.9070002,"1:45",6.134397371,2.305191966,6.409800372,-21.90318238,11.10104857,13.70144122,3.298117209,-0.948100471,83.82574524,-5.216042044,-2.193288482,0.413481732,62.67660551,-51.13895429,-42.34210004,NA,NA,NA,NA,3.572863989,2.758048879,-13.39116537,0.045956421,-8.64935255,6.344001326,-1.970299805,50,6.045644503,10.57361316,-131.6798254,-3.188818615,-15.39295144,24.40269111,-20.88385039,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","61f9cd45-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 02 3",39.3254207739514,-48.804386679968,-0.827467815193562,3.47572353600107,0,0,0,1,0,0,"Topped","darkgreen",0,0,0,0,0,0,0,0,1,0,0,0,0.15048050068391,0.152522782399394,0.136113211187347,0.149615389465983,0.000529490767107063,0.000118188963343984,0.000217431487475264,"GB"
"UNC2UNC091816","UNC2UNC091816 01( 03",8,"9/18/16","1:36:55 PM",3,1,"Peto, Robbie",8889484,"Right","NOR_TAR","Dalatri, Luca",8897904,"Right","NOR_TAR2","Undefined",1,"Top",2,0,0,"FB","FB","StrikeCalled","Undefined","Undefined","Undefined",0,0,NA,90.67782332,-1.799886053,-3.039372779,2155.277257,217.6768212,"1:15",6.207084275,2.328886129,6.422740323,-20.22952199,12.96014329,10.0324631,2.864133363,0.368802653,83.09691312,-5.625690484,-1.136739899,0.414641679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.346922304,7.616538187,-2.117005099,50,6.069462122,6.703170638,-131.8885745,-4.754659361,-11.19514462,27.67919541,-18.73946682,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","7e730b38-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 03 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 03",9,"9/18/16","1:37:08 PM",3,2,"Peto, Robbie",8889484,"Right","NOR_TAR","Dalatri, Luca",8897904,"Right","NOR_TAR2","Undefined",1,"Top",2,0,1,"FB","FB","BallCalled","Undefined","Undefined","Undefined",0,0,NA,91.58399198,-2.860399338,-5.769804094,2076.664345,207.8498934,"1:00",6.373112841,2.404407893,6.152462451,-10.54590275,22.69454457,12.00725659,2.836126532,-1.94334463,83.39031987,-4.851733883,-3.513339396,0.41495877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.159661094,13.16335946,-1.971307372,50,6.149320741,13.0128375,-132.5437025,-6.989910987,-14.50455543,28.52729217,-8.774954551,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","87480317-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 03 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 03",10,"9/18/16","1:37:21 PM",3,3,"Peto, Robbie",8889484,"Right","NOR_TAR","Dalatri, Luca",8897904,"Right","NOR_TAR2","Undefined",1,"Top",2,1,1,"CH","CH","InPlay","Undefined","GroundBall","Single",0,0,NA,83.68742319,-0.081220411,-3.013441644,2162.231137,244.5266064,"2:15",6.062936154,2.534577194,6.215553118,-30.67044961,8.29015153,17.47834715,3.432017847,1.207977117,77.30539816,-5.840996813,0.27768619,0.449246128,42.46929852,-47.92667069,-13.82479438,NA,NA,NA,NA,4.092706392,3.331865976,-27.56690454,0.071797485,-10.27099547,4.533642175,-2.317895608,50,6.041282789,5.906234336,-121.8083099,-1.061040364,-15.57987208,21.77079717,-25.29705544,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","8f1dacde-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 03 3",28.4578769439678,-31.5244437956145,-1.89403929988898,3.6280657024913,0,0,0,1,0,1,"Weak","tan",1,1,1,0,0,0,0,0,0,0,0,0,0.153388500088218,0.289832381970796,0.183530944040256,0.133212009851024,0.0190252032055944,0.000929297968353931,0.000221989063246176,"GB"
