"Pitcher","TaggedPitchType","HorzBreak","InducedVertBreak","n","InitialsNumber"
"Baum, Tyler","CH",13.42869,10.04615,222,"TB 23"
"Baum, Tyler","CU",-1.3224725,-3.9987585,354,"TB 23"
"Baum, Tyler","FB",12.20082,13.32191963,732,"TB 23"
"Bergner, Austin","CH",13.00405,10.194655,366,"AB 45"
"Bergner, Austin","CU",-3.575319,-9.6280935,224,"AB 45"
"Bergner, Austin","FB",11.828826885,14.571015,794,"AB 45"
"Blendinger, Kyle","CH",14.057415,-0.143725206,90,"KB 39"
"Blendinger, Kyle","FB",13.8031,8.7411515,368,"KB 39"
"Blendinger, Kyle","SL",-10.282205,-4.96800441,180,"KB 39"
"Butler, Hansen","CH",11.43473,6.7047845,284,"HB 24"
"Butler, Hansen","CU",-5.1738625,-17.145625,214,"HB 24"
"Butler, Hansen","FB",5.451424,17.3131,371,"HB 24"
"Casparius, Ben","CH",14.51299,7.54132,49,"BC 46"
"Casparius, Ben","CU",-11.17522,-4.050211,26,"BC 46"
"Casparius, Ben","FB",12.007815,15.286965,178,"BC 46"
"Casparius, Ben","FT",16.16388,7.104357,29,"BC 46"
"Casparius, Ben","SL",-10.28153,-1.278825,72,"BC 46"
"Dalatri, Luca","CH",12.118317155,9.6370806635,158,"LD 42"
"Dalatri, Luca","CU",-7.638264,-3.736391,175,"LD 42"
"Dalatri, Luca","FB",7.622948,14.1831907,316,"LD 42"
"Dotson, Josh","CH",14.22517808,9.078423755,78,"JD 27"
"Dotson, Josh","CU",-11.64167,-15.28323,107,"JD 27"
"Dotson, Josh","FB",10.711230945,13.086455,196,"JD 27"
"Elliott, Austin","FB",5.1649988295,18.150079505,114,"AE 25"
"Elliott, Austin","SL",-6.301103,-7.755687,61,"AE 25"
"Grogan, Andrew","CH",10.04159,9.3388225,96,"AG 37"
"Grogan, Andrew","FB",11.10058,8.087008,198,"AG 37"
"Grogan, Andrew","SL",-6.1064405,0.62197365,152,"AG 37"
"Lancellotti, Joey","CH",10.67363,8.888539,117,"JL 31"
"Lancellotti, Joey","FB",6.1570530055,13.77306,452,"JL 31"
"Lancellotti, Joey","SL",-4.121898,2.041504,303,"JL 31"
"Love, Austin","CH",10.40648,10.38556,167,"AL 44"
"Love, Austin","CU",-5.949992,-2.582925,31,"AL 44"
"Love, Austin","FB",7.100437563,13.11249,307,"AL 44"
"Love, Austin","SL",-3.347538,2.565304921,169,"AL 44"
"Maniglia, Casey","FB",12.95644581,10.54202,102,"CM 29"
"Maniglia, Casey","SL",-7.6815807195,-6.013246675,20,"CM 29"
"Nance, Bennett","FB",-8.2303605,15.49123,136,"BN 47"
"Nance, Bennett","SL",0.593149,1.864575,71,"BN 47"
"O'Brien, Caden","CH",-9.89966,10.71505,413,"CO'B 34"
"O'Brien, Caden","FB",-4.631637,16.29413,599,"CO'B 34"
"O'Brien, Caden","SL",4.7810685,-0.853253,74,"CO'B 34"
"Ollio, Connor","CH",9.9543765,10.087175,102,"CO 48"
"Ollio, Connor","FB",3.613606,15.41772,213,"CO 48"
"Ollio, Connor","SL",-6.21331,-0.4997498,106,"CO 48"
"Palermo, Davis","CH",13.293225,11.5097,80,"DP 49"
"Palermo, Davis","FB",7.858375,16.65173,205,"DP 49"
"Palermo, Davis","SL",-5.048565,-6.40264,48,"DP 49"
"Pry, Nik","CH",8.465573,9.6777975,76,"NP 36"
"Pry, Nik","FB",12.14482,15.68249,287,"NP 36"
"Pry, Nik","SL",-3.972276,-2.647131,191,"NP 36"
"Sandy, Will","CH",-12.05304,9.6757,143,"WS 41"
"Sandy, Will","FB",-11.699623695,15.325995,262,"WS 41"
"Sandy, Will","SL",-0.9172012,-4.249836,119,"WS 41"
