"Pitcher","AvgVelo","AvgSpinRate"
"Baum, Tyler",91.9690325153319,2217.61405271579
"Bergner, Austin",91.9868146182602,2136.59975425596
"Blendinger, Kyle",88.6544256346455,2130.77063768847
"Butler, Hansen",91.5978766989839,1962.09406153634
"Casparius, Ben",89.5955115029105,2317.81364127242
"Dalatri, Luca",87.7929493852347,2016.02360125847
"Dotson, Josh",86.8197600648338,2068.28577855281
"Grogan, Andrew",86.9837127991945,2184.76121703121
"Lancellotti, Joey",92.5045946310003,2275.49763851574
"Love, Austin",91.0205627668718,2305.41284334505
"Nance, Bennett",82.9972529771381,1963.60921999428
"O'Brien, Caden",87.0665478238636,1826.91699810568
"Ollio, Connor",87.9055582155215,2141.71243271903
"Pry, Nik",87.3237189949307,2266.09070195043
"Sandy, Will",87.8580429037311,2042.92711063737
