"GameID","Umpire"
"BOCSCU021618","Billy Haze"
"BOCSCU021718","Christopher Gonzalez"
"BOCSCU021818","Greg Charles"
"MINBOC022318",NA
"INDBOC022418","Dorsey Hager"
"BOCRUT022518","Zack Tieche"
"NIABOC030218",NA
"BOCBRY030318",NA
"BOCAMY030418",NA
"BOCNCA030618","Curtis Dugar"
"BOCWOF030718","Kyle Cothran"
"BOCNCS030918","David Savage"
"BOCNCS031018","Chuck Pack"
"BOCNCS031018","Dave Soucy"
"BOCUVA031618","Randy Watkins"
"BOCUVA031818","David Pritchett"
"NEABOC032018","Timothy Carey"
"VATBOC032318","Danny Everett"
"VATBOC032418","Thomas Newsom"
"VATBOC032418","David Brown"
"UCOBOC032718","Danny Collins"
"BOCCLE032918","Frank Sylvester"
"BOCCLE033018","Greg Street"
"BOCCLE033118","Tony Carilli"
"HARBOC040418","Scott Davis"
"PITBOC040718","Darion Padgett"
"PITBOC040718","Randy Watkins"
"PITBOC040818","Jeff Wright"
"BOCMAS041018","Richard Katz"
"QUIBOC041118","Joseph Caraco"
"WAFBOC041318","Doug Lee"
"WAFBOC041318","Danny Everett"
"WAFBOC041418","Joseph Judkowitz"
"RIUBOC041718","Timothy Rosso"
"DRTBOC041818","Joseph Caraco"
"FSUBOC042018","AJ Lostaglio"
"FSUBOC042118","Danny Collins"
"FSUBOC042218","Thomas Newsom"
"BOCUML042418","Dave Soucy"
"BOCNOD042718","Matthew Schaeffer"
"BOCNOD042818","Vic Correll"
"BOCNOD042918","Jonathan Merry"
"LOUBOC050418","Frank Sylvestor"
"LOUBOC050518","Tyler Simpson"
"LOUBOC050618","Scott Cline"
"MAIBOC051518","Rich Gaitane"
"BOCMIA051718","John Haggerty"
"BOCMIA051818","Brian Kennedy"
"W&MCLE021618","Danny Everett"
"W&MCLE021718","Craig Barron"
"W&MCLE021818","Jon Merry"
"FURCLE022018","Darion Padgett"
"CLEFUR032718","Darion Padgett"
"DABCLE022318","David Savage"
"DABCLE022418","Jason Bradley"
"DABCLE022418","Doug Vines"
"WINCLE022718","David Brown"
"CLEUSC030218","Tony Walsh"
"USCCLE030318","Scott Kennedy"
"USCCLE030418","Greg Street"
"WOFCLE030618","Clint Lawson"
"CLEMSU030718","Ken Fitts"
"GATCLE030918","Scott Kennedy"
"GATCLE031018","Darrell Arnold"
"GATCLE031018","Hank Himmanen"
"CHSCLE031318","Michael Cheek"
"NCSCLE031618","Frank Sylvester"
"NCSCLE031718","A.J. Lostaglio"
"NCSCLE031818","Tom Honec"
"CLECOA032018","Joe Marion"
"COACLE040318","Jeremy Dupree"
"CLELOU032318","Gregory Street"
"CLELOU032518","Darren Spagnardi"
"CLELOU032518","David Pritchett"
"CLENOD040718","John Haggerty"
"CLENOD040818","AJ Lostaglio"
"CLENOD040818","Brent Rice"
"CLENOD052318","David Savage"
"UGACLE041018","Darrell Arnold"
"CLEUGA041718","Jeff Head"
"MIACLE041318","David Savage"
"MIACLE041418","Barry Chambers"
"MIACLE041418","Kevin Sweeney"
"MIACLE052418","Jeff Gosney"
"CLEWAF042018","John Haggerty"
"CLEWAF042118","Jack Furlong"
"CLEWAF042218","Brian Miller"
"GKSCLE042418","Doug Vines"
"CLEGKS051518","Darion Padgett"
"PRCCLE042518","Will Prestwood"
"CLEUVA042718","Danny Collins"
"CLEUVA042918","John Haggerty"
"CLEUVA042818","Brandon Henson"
"FSUCLE050618","Jason Bradley"
"FSUCLE050718","Morris Hodges"
"FSUCLE050518","Jeff Head"
"FSUCLE052618","David Savage"
"WCUCLE050918","David Brown"
"APUCLE051318","Kevin Elzey"
"APUCLE051118","Rusty Griffin"
"APUCLE051218","Patrick Graham"
"CLEPIT051918","Kevin Elzey"
"CLEPIT051718","Scott Kennedy"
"CLEPIT051818","Brandon Henson"
"MHSCLE060118","Rick Allen"
"DUKVAN021718","Chuck Pack"
"DUKVAN021818","Jeff Wright"
"NCCDUK022118","Randal Dulin"
"DUKNCC022718","Stan Rogers"
"BUCDUK022318","Drew Maher"
"BUCDUK022418","Jamie Roebuck"
"BUCDUK022518","David Pritchett"
"CORDUK030218","Wilson Raynor"
"CORDUK030318","Brian Kennedy"
"CORDUK030418","Steve Sanders"
"LWDDUK030718","Jamie Roebuck"
"UVADUK030918","Morris Hodges"
"UVADUK031018","Brandon Cooper"
"UVADUK031018","Jason Bradley"
"YALDUK031318","Darren Spagnardi"
"YALDUK031418","Brian Kennedy"
"MIADUK031618","Greg Howard"
"MIADUK031718","Kevin Sweeney"
"MIADUK031818","Greg Howard"
"DUKCAM032018","Steve Sanders"
"CAMDUK040418","Brian Kennedy"
"MESDUK032118","Brian Kennedy"
"DUKPIT032418","Jon Byrne"
"DUKPIT032518","Wilson Raynor"
"DUKPIT032318","Frank Sylvester"
"PRCDUK032718","John Haggerty"
"NODDUK033118","Clint Lawson"
"NODDUK040118","Joseph Judkowitz"
"NODDUK033018","AJ Lostaglio"
"DUKRIC040318","Mike Goleski"
"DUKWAF040618","Steve Sanders"
"DUKWAF040818","Doug Lee"
"DUKWAF040918","Danny Everett"
"DUKWAF052418","A.J. Lostaglio"
"DAVDUK041018","Jamie Roebuck"
"DUKFSU041318","Frank Sylvester"
"DUKFSU041418","Thomas Newsom"
"ECUDUK041718","Gary Swanson"
"NCSDUK042018","Danny Everett"
"NCSDUK042118","Craig Barron"
"NCSDUK042218","Kevin Elzey"
"DUKVAT042818","Steve Sanders"
"DUKVAT042918","Gary Swanson"
"DUKVAT042718","Josh Miller"
"GWUDUK050618","Gary Keller"
"GWUDUK050618","Jon Byrne"
"LIBDUK050818","Steve Sanders"
"UNCDUK051118","David Savage"
"UNCDUK051218","Craig Barron"
"UNCDUK051318","Greg Howard"
"DUKGAT051718","Barry Chambers"
"DUKGAT051818","David Brown"
"DUKGAT051918","Thomas Newsom"
"LOUDUK052518","Greg Street"
"TRYDUK060118","Jeff Henrichs"
"XAVFSU021618","Dave Bisceglio"
"XAVFSU021718","Manny Salazar"
"XAVFSU021818","Danny Cricks"
"USFFSU022018","Mark Humphreys"
"TRYFSU022318","Robert Holloway"
"TRYFSU022418","Mark Humphreys"
"TRYFSU022518","Doug Lee"
"FSUJAC022718","Hank Himmerman"
"JACFSU040418","Ryan McCraney"
"JACFSU050918","Mark Humphreys"
"NCAFSU030418","Nathaniel Starr"
"NCAFSU030218","Doug Lee"
"NCAFSU030318","Mark Humphreys"
"KANFSU030518","Manny Salazar"
"KANFSU030618","Danny Cricks"
"FSUWAF030918","Frank Sylvester"
"FSUWAF031018","Doug Vines"
"FSUWAF031018","Gregory Street"
"FSUUFL032718","Kevin Sweeney"
"UFLFSU041018","Barry Chambers"
"FSUUFL031318","Hank Himmanen"
"NODFSU031818","Jonathan Merry"
"NODFSU031718","Joseph Judkowitz"
"NODFSU031618","Scott Kennedy"
"UCFFSU032118","Joey Weaver"
"UCFFSU032018","Ryan McCraney"
"FSUUNC032318","Mark Chapman"
"FSUUNC032518","Tom Honec"
"FSUUNC032318","David Savage"
"LOUFSU032918","Randy Watkins"
"LOUFSU033118","Morris Hodges"
"FSULOU052718","Jeff Gosney"
"LOUFSU033018","Linus Baker"
"FSUGAT040818","Jeff Gosney"
"FSUGAT040618","Danny Collins"
"FSUGAT040718","Darrell Arnold"
"STEFSU041818","Ryan McCraney"
"STEFSU041718","Doug Lee"
"FSUSTE042418","Arthur Thigpen"
"MIAFSU042818","Doug Vines"
"MIAFSU042718","Greg Street"
"MIAFSU042918","Danny Everett"
"MSMFSU051118","Augustus Griffin"
"MSMFSU051318","Ryan McCraney"
"MSMFSU051218","Nathaniel Starr"
"MSMFSU051218","Dave Bisceglio"
"NCSFSU051718","Frank Sylvester"
"FSUNCS052518","Scott Kennedy"
"NCSFSU051818","Jamie Roebuck"
"NCSFSU051918","David Savage"
"UVAFSU052218","Barry Chambers"
"MINGAT021618","Jason Bradley"
"BRAGAT021718","Doug Vines"
"UCOGAT021818","Vic Correll"
"GATGAS022018","Doug Vines"
"GASGAT032718","Kevin Elzey"
"DRTGAT022318","Jay Furlong"
"DRTGAT022418","Craig Mirr"
"DRTGAT022418","Kevin Elzey"
"APBGAT022718","Vic Correll"
"UICGAT030218","Danny Everett"
"UICGAT030318","Craig Barron"
"UICGAT030418","Jeremy Dupree"
"GSUGAT041118","Jake Furlong"
"GATGSU030718","Craig Barron"
"GATAUB031318","Vic Correll"
"AUBGAT032018","David Savage"
"VATGAT031718","Doug Lee"
"VATGAT031818","David Brown"
"VATGAT031618","John Haggerty"
"MERGAT032118","Kenneth Fitts"
"GATMER041018","Darion Padgett"
"GATNCS032318","Brandon Henson"
"GATNCS032518","AJ Lostaglio"
"GATNCS032318","Danny Collins"
"MIAGAT033118","Thomas Newsome"
"MIAGAT040118","Fred Cannon"
"MIAGAT033018","Perry Costello"
"GATUGA050818","Fred Cannon"
"GATUGA040318","Danny Everett"
"UGAGAT042518","Doug Vines"
"GATPIT041318","David Pritchett"
"GATPIT041518","Olindo Mattia"
"PITGAT052218","Fred Cannon"
"GATPIT041418","Chuck Pack"
"GKSGAT041818","Michael Cheek"
"GATUNC042018","Frank Slyvester"
"GATUNC042218","Jeff Gosney"
"GATUNC052518","Danny Collins"
"WAFGAT042718","Damien Beal"
"WAFGAT042918","Dave Soucy"
"WAFGAT042818","Brian Miller"
"RADGAT050518","Jonathan Bailey"
"RADGAT050618","Craig Mirr"
"RADGAT050418","Danny Everett"
"GATUVA051218","Olindo Mattia"
"GATUVA051418","Gregory Street"
"GATUVA051118","Jeff Gosney"
"SEMGAT051518","Kenneth Fitts"
"RICLOU021618","Tom Haight"
"LOUCIT021718","Perry Ramicone"
"LOUGMU021818","Jeremy Crow"
"EKULOU022018","Phil Cundall"
"YOULOU022318","Joseph Smith"
"YOULOU022418","Harry Greer"
"YOULOU022518","Perry Costello"
"XAVLOU022718","Brandon Cooper"
"WCULOU030218","Chris Ward"
"WCULOU030318","Ron Whiting Sr."
"WCULOU030418","Manny Gonzalez"
"MHSLOU030618","Donald Gilmore"
"UNCLOU030918","Tony Walsh"
"UNCLOU031018","Kevin Sweeney"
"UNCLOU031118","Linus Baker"
"TTULOU031318","Scott Kennedy"
"TTULOU031418","Greg Howard"
"LOUWAF031618","Danny Collins"
"LOUWAF031818","Wilson Raynor"
"LOUWAF031718","Jeff Gosney"
"WAFLOU052318","Frank Sylvester"
"LOUWKU032118","Benjamin Wood"
"WKULOU042418","Nathan Huber"
"UKELOU041718","Chuck Pack"
"LOUUKE040318","Scott Cline"
"NCSLOU040618","David Savage"
"NCSLOU040718","Doug Vines"
"NCSLOU040818","Brian Miller"
"NKULOU041018","Cedric Coleman"
"LOUVAT041418","Brian Kennedy"
"UVALOU042118","Scott Cline"
"UVALOU042018","Jeff Head"
"UVALOU042218","Olindo Mattia"
"ISULOU042818","Augustus Griffin"
"ISULOU042718","Robert Holloway"
"ISULOU042918","Phil Cundall"
"LOUVAN050118","Jeff Head"
"WRILOU050818","Manny Gonzalez"
"CINLOU050918","Brandon Cooper"
"LOUPIT051218","Jessi Pereira"
"LOUPIT051118","Darren Spagnardi"
"PITLOU052618","Frank Sylvester"
"LOUPIT051318","Jamie Roebuck"
