"BatterHand","BattedBallType","Location","Result","ExpOBP","ExpSLG","Exp2OPS","ExpOBP_sd","ExpSLG_sd","Exp2OPS_sd","ExpOBP_n","ExpSLG_n","Exp2OPS_n"
"L","0","1","1B",0.229248093702279,0.510106677356216,0.299942812216697,0.144552541319146,0.261779690431856,0.16713864267594,3,3,3
"L","0","1","ROE",0.150583227043714,0.150583227043714,0.135524904339343,NA,NA,NA,1,1,1
"L","0","2","1B",0.885754109190744,2.21438527297686,1.24005575286704,0,0.626322737072625,0.208774245690875,2,2,2
"L","0","2","HR",0.976516972758814,1.94246288528535,1.20084724632511,0.0244128178829009,1.34171146070342,0.442112097673796,4,4,4
"L","0","3","HR",0.51739015967437,1.29347539918593,0.724346223544118,0,0.365850090424938,0.121950030141646,2,2,2
"L","0","7","SACBUNT",0.255518609823503,0.383277914735255,0.272553183811737,0,0.180678941725559,0.0602263139085195,2,2,2
"L","0",NA,"1B",0.487570843005184,1.17470294851667,0.667857793875162,0.250684237049345,0.84616130229622,0.393033233159736,61,61,61
"L","0",NA,"2B",0.685985893028405,1.69868957790499,0.954955198684427,0.249370607218993,0.922356804177245,0.400991146168878,50,50,50
"L","0",NA,"3B",0.966127334868418,0.966127334868418,0.869514601381576,NA,NA,NA,1,1,1
"L","0",NA,"HR",0.749037868307364,2.08122864039412,1.11819767217221,0.332540890944724,1.3315580667954,0.598714703997456,17,17,17
"L","BT","1","1B",0.605511043457846,2.42204417383138,1.15047098256991,NA,NA,NA,1,1,1
"L","BT","1","FC",0.413674763312188,1.44786167159266,0.717036256407792,0,0.292512230343788,0.0975040767812626,2,2,2
"L","BT","1","GO",0.280050564489761,0.66675181622369,0.380945925285427,0.147283786261703,0.446205655543001,0.206626801137018,8,8,8
"L","BT","1","SACBUNT",0.515796973955907,0.515796973955907,0.464217276560316,NA,NA,NA,1,1,1
"L","BT","3","GO",0.363088988788919,1.26573044442188,0.627660575121014,0.33753315338393,1.61406094190026,0.729289100884312,2,2,2
