"Type","ExpOBP","ExpSLG"
"DoubleFlyBall",0.398101305515318,0.398101305515318
"DoubleGroundBall",0.454166997392465,0.454166997392465
"DoubleLineDrive",0.652223183920925,0.652223183920925
"DoublePopup",0.163813090049241,0.163813090049241
"DoubleUndefined",0.517138720878312,0.517138720878312
"ErrorBunt",0.511969190803399,0.511969190803399
"ErrorFlyBall",0.230716961660941,0.230716961660941
"ErrorGroundBall",0.280563182615644,0.280563182615644
"ErrorLineDrive",0.60072211073161,0.60072211073161
"ErrorPopup",0.0186423661953892,0.0186423661953892
"ErrorUndefined",0.306926616873366,0.306926616873366
"FieldersChoiceGroundBall",0.306568167951572,0.306568167951572
"FieldersChoiceLineDrive",0.274722340266032,0.274722340266032
"HomeRunFlyBall",0.623883242874412,0.623883242874412
"HomeRunLineDrive",0.720164776135011,0.720164776135011
"HomeRunUndefined",0.713392482743141,0.713392482743141
"OutBunt",0.308190835773325,0.308190835773325
"OutFlyBall",0.154442317382878,0.154442317382878
"OutGroundBall",0.259375853993082,0.259375853993082
"OutLineDrive",0.553514395276829,0.553514395276829
"OutPopup",0.0462191000331072,0.0462191000331072
"OutUndefined",0.283766288333436,0.283766288333436
"SacrificeBunt",0.398821646582161,0.398821646582161
"SacrificeFlyBall",0.167698738707878,0.167698738707878
"SacrificeLineDrive",0.558893223096761,0.558893223096761
"SacrificePopup",0.247131862168912,0.247131862168912
"SacrificeUndefined",0.307991752742444,0.307991752742444
"SingleBunt",0.367498064677625,0.367498064677625
"SingleFlyBall",0.392169492139555,0.392169492139555
"SingleGroundBall",0.399848012584855,0.399848012584855
"SingleLineDrive",0.705078401924907,0.705078401924907
"SinglePopup",0.266851517568801,0.266851517568801
"SingleUndefined",0.569249794734389,0.569249794734389
"TripleFlyBall",0.333978162247197,0.333978162247197
"TripleGroundBall",0.472554376621766,0.472554376621766
"TripleLineDrive",0.644524807993277,0.644524807993277
"TripleUndefined",0.415697058492848,0.415697058492848
