"PlateLocSide","PlateLocHeight","BatterSide"
-1.3,2.4,"Right"
-1.3,2.3,"Right"
-1.3,2.2,"Right"
-1.3,2.1,"Right"
-1.2,2,"Right"
-1.2,1.9,"Right"
-1.1,1.8,"Right"
-1,1.7,"Right"
-0.9,1.7,"Right"
-0.2,1.6,"Right"
0.4,1.7,"Right"
0.5,1.7,"Right"
0.6,1.7,"Right"
0.7,1.7,"Right"
0.8,1.7,"Right"
0.9,1.8,"Right"
1,1.9,"Right"
1.1,2,"Right"
1.1,2.1,"Right"
1.1,2.2,"Right"
1.1,2.3,"Right"
1.2,2.4,"Right"
1.2,2.5,"Right"
1.1,2.6,"Right"
1.1,2.7,"Right"
1.1,2.8,"Right"
1.1,2.9,"Right"
1.1,3,"Right"
1,3.1,"Right"
0.9,3.2,"Right"
0.8,3.2,"Right"
0.6,3.3,"Right"
0.5,3.3,"Right"
0.4,3.3,"Right"
0.3,3.3,"Right"
0.2,3.3,"Right"
0.1,3.3,"Right"
0,3.3,"Right"
-0.0999999999999999,3.3,"Right"
-0.2,3.3,"Right"
-0.3,3.3,"Right"
-0.4,3.3,"Right"
-0.5,3.3,"Right"
-0.6,3.3,"Right"
-0.7,3.3,"Right"
-0.9,3.2,"Right"
-1.1,3.1,"Right"
-1.2,3,"Right"
-1.2,2.9,"Right"
-1.2,2.8,"Right"
-1.3,2.7,"Right"
-1.3,2.6,"Right"
-1.3,2.5,"Right"
-1,2.4,"Left"
-1,2.3,"Left"
-1,2.2,"Left"
-1,2.1,"Left"
-1,2,"Left"
-0.9,1.9,"Left"
-0.8,1.9,"Left"
-0.8,1.8,"Left"
-0.7,1.8,"Left"
-0.6,1.7,"Left"
-0.5,1.7,"Left"
-0.4,1.7,"Left"
-0.3,1.7,"Left"
-0.2,1.7,"Left"
0.6,1.7,"Left"
0.7,1.7,"Left"
0.8,1.7,"Left"
0.9,1.7,"Left"
1,1.7,"Left"
1.1,1.8,"Left"
1.2,1.8,"Left"
1.2,1.9,"Left"
1.3,1.9,"Left"
1.3,2,"Left"
1.4,2.2,"Left"
1.4,2.3,"Left"
1.4,2.4,"Left"
1.3,2.7,"Left"
1.3,2.8,"Left"
1.3,2.9,"Left"
1.2,3,"Left"
1.1,3.1,"Left"
1,3.2,"Left"
0.9,3.2,"Left"
0.7,3.3,"Left"
0.6,3.3,"Left"
0.5,3.3,"Left"
0.4,3.3,"Left"
0.3,3.3,"Left"
0.2,3.3,"Left"
0.1,3.3,"Left"
0,3.3,"Left"
-0.0999999999999999,3.3,"Left"
-0.2,3.3,"Left"
-0.3,3.3,"Left"
-0.4,3.3,"Left"
-0.5,3.3,"Left"
-0.6,3.2,"Left"
-0.7,3.2,"Left"
-0.8,3.1,"Left"
-0.9,3,"Left"
-1,2.9,"Left"
-1,2.8,"Left"
-1,2.7,"Left"
-1,2.6,"Left"
-1,2.5,"Left"
