"Game","UNC Avg Exit Velo","Opponent Avg Exit Velo"
"6/9/2019 - Auburn",91,90
"6/8/2019 - Auburn",88,91
"6/2/2019 - Tennessee",89,86
"6/1/2019 - Liberty",92,87
"5/31/2019 - UNCW (Wilmington)",93,87
"5/26/2019 - Georgia Tech",90,82
"5/25/2019 - Boston College",89,88
"5/24/2019 - Miami",90,87
"5/22/2019 - Virginia",90,91
"5/18/2019 - NC State",90,89
"5/17/2019 - NC State",92,87
"5/16/2019 - NC State",92,91
"5/14/2019 - High Point",91,79
"5/8/2019 - East Carolina (ECU)",81,85
"5/7/2019 - Winthrop",90,85
"4/30/2019 - Liberty",92,88
"4/28/2019 - Virginia",87,86
"4/27/2019 - Virginia",88,90
"4/26/2019 - Virginia",91,86
"4/23/2019 - Coastal Carolina",89,84
"4/21/2019 - Boston College",97,81
"4/20/2019 - Boston College - Game 1 of Double Header",90,87
"4/20/2019 - Boston College - Game 2 of Double Header",88,84
"4/13/2019 - Notre Dame - Game 1 of Double Header",91,84
"4/13/2019 - Notre Dame - Game 2 of Double Header",88,82
"4/12/2019 - Notre Dame",91,89
"4/10/2019 - Davidson",92,86
"4/9/2019 - UNC Greensboro",91,85
"3/31/2019 - Duke",92,87
"3/30/2019 - Duke",94,88
"3/29/2019 - Duke",89,89
"3/26/2019 - Campbell",93,86
"3/24/2019 - Virginia Tech",90,86
"3/23/2019 - Virginia Tech",92,86
"3/22/2019 - Virginia Tech",86,87
"3/17/2019 - Miami",89,92
"3/16/2019 - Miami",91,89
"3/15/2019 - Miami",92,88
"3/12/2019 - Gardner Webb",95,83
"3/10/2019 - Clemson",94,92
"3/9/2019 - Clemson - Game 1 of Double Header",83,91
"3/9/2019 - Clemson - Game 2 of Double Header",87,90
"3/5/2019 - Charleston Southern",85,81
"3/3/2019 - UMass-Lowell",93,85
"3/2/2019 - UMass-Lowell Game 1 of Double header",89,89
"3/2/2019 - UMass-Lowell Game 2 of Double Header",95,91
"2/27/2019 - VCU",89,90
"2/26/2019 - UNC Wilmington",90,87
"2/24/2019 - South Florida Game 1 of Double Header",93,87
"2/24/2019 - South Florida Game 2 of Double Header",93,90
"2/23/2019 - South Florida",91,90
"2/19/2019 - NC A&T",87,80
"2/17/2019 - Xavier",91,86
"2/16/2019 - Xavier",92,83
"2/15/2019 - Xavier",96,84
